Date,BTC_Open,BTC_High,BTC_Low,BTC_Close,ETH,Oil,S&P500,DJI,NASDAQ
2020/10/21,11913.07715,13184.56641,11900.92871,12823.68945,392.19,40.03,3435.56,28210.82,11484.69043
2020/10/22,12801.63574,13161.59375,12717.09375,12965.8916,413.77,40.64,3453.49,28363.66,11506.00977
2020/10/23,12971.54883,13015.96191,12752.64746,12931.53906,409.77,39.85,3465.39,28335.57,11548.28027
2020/10/24,12931.57422,13145.06641,12885.74707,13108.0625,412.46,#N/A,#N/A,#N/A,#N/A
2020/10/25,13108.06348,13329.18359,12910.06152,13031.17383,406.22,#N/A,#N/A,#N/A,#N/A
2020/10/26,13031.20117,13225.29785,12822.38281,13075.24805,393.89,38.56,3400.97,27685.38,11358.94043
2020/10/27,13075.24219,13759.66895,13060.83789,13654.21875,404,39.57,3390.68,27463.19,11431.34961
2020/10/28,13654.21484,13837.69531,12932.25098,13271.28516,388.65,37.39,3271.03,26519.95,11004.87012
2020/10/29,13271.29883,13612.04785,12980.05957,13437.88281,386.73,36.17,3310.11,26659.11,11185.58984
2020/10/30,13437.87402,13651.5166,13136.19824,13546.52246,382.82,35.79,3269.96,26501.6,10911.58984
2020/10/31,13546.53223,14028.21387,13457.53027,13780.99512,386.59,#N/A,#N/A,#N/A,#N/A
2020/11/1,13780.99512,13862.0332,13628.37793,13737.10938,396.36,#N/A,#N/A,#N/A,#N/A
2020/11/2,13737.03223,13808.32324,13243.16016,13550.48926,383.16,36.81,3310.24,26925.05,10957.61035
2020/11/3,13550.45117,13984.98145,13325.44141,13950.30078,387.6,37.66,3369.16,27480.03,11160.57031
2020/11/4,13950.48828,14218.7666,13580.47168,14133.70703,402.14,39.15,3443.44,27847.66,11590.78027
2020/11/5,14133.7334,15706.4043,14102.08887,15579.84863,414.07,38.79,3510.45,28390.18,11890.92969
2020/11/6,15579.72949,15903.4375,15226.83984,15565.88086,454.72,37.14,3509.44,28323.4,11895.23047
2020/11/7,15565.88086,15737.0957,14423.20313,14833.75391,435.71,#N/A,#N/A,#N/A,#N/A
2020/11/8,14833.75391,15637.32031,14744.11035,15479.56738,453.55,#N/A,#N/A,#N/A,#N/A
2020/11/9,15479.5957,15785.13672,14865.5293,15332.31543,444.16,40.29,3550.5,29157.97,11713.78027
2020/11/10,15332.35059,15450.3291,15124.95996,15290.90234,449.68,41.36,3545.53,29420.92,11553.86035
2020/11/11,15290.90918,15916.26074,15290.00684,15701.33984,462.96,41.45,3572.66,29397.63,11786.42969
2020/11/12,15701.29883,16305.00391,15534.77148,16276.34375,461.01,41.12,3537.01,29080.17,11709.58984
2020/11/13,16276.44043,16463.17773,15992.15234,16317.80859,474.63,40.13,3585.15,29479.81,11829.29004
2020/11/14,16317.80859,16317.80859,15749.19336,16068.13867,460.15,#N/A,#N/A,#N/A,#N/A
2020/11/15,16068.13965,16123.11035,15793.53418,15955.58789,447.56,#N/A,#N/A,#N/A,#N/A
2020/11/16,15955.57715,16816.18164,15880.70606,16716.11133,459.94,41.34,3626.91,29950.44,11924.12988
2020/11/17,16685.69141,17782.91992,16564.54492,17645.40625,480.36,41.43,3609.53,29783.35,11899.33984
2020/11/18,17645.19141,18393.94922,17352.90625,17804.00586,479.48,41.82,3567.79,29438.42,11801.59961
2020/11/19,17803.86133,18119.54688,17382.55469,17817.08984,471.63,41.74,3581.87,29483.23,11904.70996
2020/11/20,17817.08398,18773.22656,17765.79492,18621.31445,509.74,42.15,3557.54,29263.48,11854.96973
2020/11/21,18621.31641,18936.62109,18444.35938,18642.23242,549.49,#N/A,#N/A,#N/A,#N/A
2020/11/22,18642.23242,18688.96875,17671.38477,18370.00195,558.07,#N/A,#N/A,#N/A,#N/A
2020/11/23,18370.01758,18711.42578,18000.79688,18364.12109,608.45,43.06,3577.59,29591.27,11880.62988
2020/11/24,18365.01563,19348.27148,18128.65625,19107.46484,603.9,44.91,3635.41,30046.24,12036.79004
2020/11/25,19104.41016,19390.96484,18581.14648,18732.12109,570.69,45.71,3629.65,29872.47,12094.40039
2020/11/26,18729.83984,18866.28516,16351.03516,17150.62305,518.8,44.98,#N/A,#N/A,#N/A
2020/11/27,17153.91406,17445.02344,16526.42383,17108.40234,517.49,45.53,3638.35,29910.37,12205.84961
2020/11/28,17112.93359,17853.93945,16910.65234,17717.41406,538.23,#N/A,#N/A,#N/A,#N/A
2020/11/29,17719.63477,18283.62891,17559.11719,18177.48438,575.76,#N/A,#N/A,#N/A,#N/A
2020/11/30,18178.32227,19749.26367,18178.32227,19625.83594,614.84,45.34,3621.63,29638.64,12198.74023
2020/12/1,19633.76953,19845.97461,18321.92188,18802.99805,587.32,44.55,3662.45,29823.92,12355.11035
2020/12/2,18801.74414,19308.33008,18347.71875,19201.0918,598.35,45.28,3669.01,29883.79,12349.37012
2020/12/3,19205.92578,19566.19141,18925.78516,19445.39844,616.71,45.64,3666.72,29969.52,12377.17969
2020/12/4,19446.9668,19511.4043,18697.19336,18699.76563,569.35,46.26,3699.12,30218.26,12464.23047
2020/12/5,18698.38477,19160.44922,18590.19336,19154.23047,596.6,#N/A,#N/A,#N/A,#N/A
2020/12/6,19154.17969,19390.5,18897.89453,19345.12109,601.91,#N/A,#N/A,#N/A,#N/A
2020/12/7,19343.12891,19411.82813,18931.14258,19191.63086,591.84,45.76,3691.96,30069.79,12519.9502
2020/12/8,19191.5293,19283.47852,18269.94531,18321.14453,554.83,45.6,3702.25,30173.88,12582.76953
2020/12/9,18320.88477,18626.29297,17935.54688,18553.91602,573.48,45.52,3672.82,30068.81,12338.9502
2020/12/10,18553.29883,18553.29883,17957.06445,18264.99219,559.68,46.78,3668.1,29999.26,12405.80957
2020/12/11,18263.92969,18268.45313,17619.5332,18058.9043,545.8,46.57,3663.46,30046.37,12377.87012
